order_id,delivery_partner_id,delivery_status,delivery_time_minutes,distance_km,reasons_if_delayed
1961864118,63230,On Time,-5.0,0.96,
1549769649,14983,On Time,2.0,0.98,Traffic
9185164487,39859,On Time,4.0,3.83,Traffic
9644738826,61497,On Time,-1.0,2.76,
5427684290,84315,On Time,1.0,2.63,Traffic
3265154092,554,On Time,-1.0,1.94,
4898355547,14630,On Time,1.0,2.2,Traffic
6568151549,67714,On Time,2.0,1.3,Traffic
6006693867,91362,On Time,3.0,3.38,Traffic
374186990,77203,Slightly Delayed,7.0,1.47,Traffic
4455336265,64046,On Time,-2.0,0.76,
3539286337,94899,On Time,-5.0,3.68,
9171116867,73907,Slightly Delayed,12.0,2.23,Traffic
5504941865,56077,Slightly Delayed,11.0,4.45,Traffic
5868326481,94140,On Time,-3.0,2.8,
2137046916,12377,On Time,-2.0,1.78,
8195544338,102,Slightly Delayed,8.0,1.16,Traffic
2889700050,45032,On Time,3.0,3.07,Traffic
65827885,1108,On Time,-5.0,1.65,
4656471694,62782,Slightly Delayed,8.0,3.7,Traffic
6625178717,74906,Slightly Delayed,13.0,4.22,Traffic
7169557514,79516,Slightly Delayed,12.0,3.28,Traffic
2268306684,65733,On Time,-1.0,1.82,
6905293278,53868,Significantly Delayed,26.0,0.58,Traffic
1769493463,22954,On Time,-5.0,1.21,
5003387344,21004,On Time,-5.0,4.52,
2064484752,43022,On Time,-5.0,2.29,
964822979,42914,On Time,-2.0,1.09,
6037899648,59131,On Time,4.0,4.56,Traffic
9347571484,88612,Slightly Delayed,13.0,3.29,Traffic
3286177534,90038,On Time,-2.0,3.07,
9073572548,28575,Significantly Delayed,22.0,4.77,Traffic
8395583761,84816,On Time,-5.0,3.53,
6355378227,23910,On Time,-1.0,3.91,
277376321,78589,On Time,-1.0,3.85,
8559748526,93002,On Time,1.0,0.94,Traffic
1458051433,61040,On Time,-4.0,2.75,
5838302640,30907,Slightly Delayed,7.0,1.7,Traffic
1380971977,52614,On Time,-5.0,4.09,
1221099013,60689,On Time,2.0,3.15,Traffic
6771166303,98179,Slightly Delayed,12.0,2.55,Traffic
7111337755,84833,On Time,-3.0,3.44,
5562922993,73904,On Time,3.0,1.64,Traffic
5630957897,14408,On Time,4.0,3.92,Traffic
1787380558,95835,On Time,2.0,2.8,Traffic
32613017,77303,On Time,0.0,4.0,
2039041670,31963,Slightly Delayed,15.0,2.12,Traffic
210693801,14789,On Time,2.0,2.5,Traffic
8120002258,61526,On Time,-4.0,2.43,
2177917034,75636,Slightly Delayed,9.0,0.73,Traffic
4254814926,1761,On Time,-1.0,1.74,
6074172790,3481,On Time,4.0,2.48,Traffic
3381573131,50582,On Time,-5.0,4.91,
3773745777,97135,On Time,0.0,3.31,
9251939156,57095,Slightly Delayed,7.0,2.35,Traffic
3872982303,60234,On Time,1.0,2.6,Traffic
2625987757,51273,On Time,2.0,4.7,Traffic
3162249401,47552,On Time,0.0,1.72,
3108986741,60867,On Time,1.0,2.09,Traffic
1851474741,12879,Slightly Delayed,9.0,4.09,Traffic
2425099132,44245,On Time,4.0,1.07,Traffic
6706793332,76503,Slightly Delayed,12.0,2.99,Traffic
2149289255,25251,Significantly Delayed,19.0,2.56,Traffic
1971008155,30330,On Time,-4.0,0.86,
2087093460,27478,On Time,-1.0,0.77,
2116712588,34078,On Time,3.0,4.26,Traffic
6054358790,52564,On Time,-5.0,3.96,
532660797,97547,Slightly Delayed,14.0,4.9,Traffic
1491991005,85285,On Time,0.0,0.89,
4136019599,34667,On Time,3.0,4.58,Traffic
2122832513,39396,Significantly Delayed,20.0,3.97,Traffic
3717703595,8041,On Time,-1.0,2.48,
